ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic?,PCAccess,OpSystem,Linux?,iPod?
1,Dorm,Verizon,179,Visa,194.85,1.9,20,2,6,0,6,3.4,35,None,Never,Other student,0,1.53,Always,Windows,What's Linux?,iPod only
2,Dorm,Verizon,400,Visa,700,3.6,10,3,3,3,6.3,2.03,1,Moderate,Regularly,Campus store,0,1.8,Always,Windows,Yes,Neither
3,Dorm,Cingular,1000,Discover,70,2.7,0,2,3,5,6.1,2.73,10,Slight,Occasionally,Other student,0,1.3,Always,Windows,No,iPod only
4,Dorm,Cingular,300,Amex,200,3.7,0,2,2,3,5.5,3.23,0,Moderate,Regularly,Campus store,0,2.13,Always,Windows,What's Linux?,iPod only
5,Dorm,Sprint,700,Mastercard,200,3.53,2,2,3,6,6.13,2.5,0,Moderate,Occasionally,Campus store,0,4.6,Often,Mac,Yes,MP3 only
6,Share Apt,Verizon,1,Mastercard,2000,2.4,0,6,2,7,5.07,2.47,1,Moderate,Occasionally,Other retail,0,4,Always,Mac,Yes,Both
7,Dorm,Other,300,Visa,500,3.55,0,2,2,4,5.57,4,0,Slight,Occasionally,Campus store,0,1,Always,Windows,No,Both
8,Dorm,T-Mobile,400,Visa,700,2.9,15,4,4,8,5.77,3.97,4,Moderate,Never,On-line,1,5.43,Always,Windows,No,iPod only
9,Dorm,Alltel,400,Visa,0,3.07,10,2,2,14,6.73,1.5,10,None,Occasionally,Other retail,0,1.03,Always,Windows,No,Neither
10,Dorm,Verizon,843,Amex,190.52,3.62,16,2,2,5,5.57,6.17,20,Slight,Occasionally,On-line,0,2.27,Always,Mac,Yes,iPod only
11,Other,Verizon,250,Visa,1000,3.3,10,2,2,10,6,5.43,5,Moderate,Occasionally,Campus store,0,2.07,Always,Windows,No,iPod only
12,Dorm,Other,20,Visa,700,2.3,0,2,3,10,5.6,3,0,Slight,Regularly,On-line,0,4,Rarely,Windows,Yes,iPod only
13,Dorm,Verizon,500,Visa,200,3.244,0,2,2,3,4,5.47,0,None,Occasionally,Campus store,1,1.03,Rarely,Windows,No,MP3 only
14,Solo Apt,Verizon,100,Visa,890,3.24,0,2,2,4,4.7,6,0,Fluent,Occasionally,Campus store,0,2,Always,Mac,No,iPod only
15,Dorm,T-Mobile,1600,Mastercard,450,3.2,0,4,3,6,6.3,3.27,30,Fluent,Never,Campus store,0,1.03,Always,Windows,No,iPod only
16,Dorm,Verizon,650,Visa,12000,3.3,0,3,4,3,6.1,3.73,10,None,Regularly,Campus store,0,1.1,Often,Mac,What's Linux?,iPod only
17,Dorm,Other,1000,Visa,250,3.4,0,2,2,13,5.1,6.03,0,Slight,Occasionally,Campus store,0,4,Always,Windows,No,iPod only
18,Dorm,Verizon,340,Visa,600,2.58,0,2,2,2,6.2,6.1,2,Fluent,Occasionally,Campus store,0,4,Always,Windows,Yes,iPod only
19,Parents,Sprint,1100,Mastercard,0,3.821,12,2,2,16,6.53,5.5,0,Fluent,Occasionally,Campus store,1,4.53,Rarely,Windows,What's Linux?,Neither
20,Dorm,Verizon,50,Visa,100,3.86,0,3,3,8,6.13,4,0,Moderate,Occasionally,Campus store,0,2,Always,Windows,No,iPod only
21,Dorm,Verizon,200,Mastercard,200,3.1,0,2,2,10,4.27,5.37,5,Moderate,Occasionally,Other student,0,2.7,Always,Windows,No,MP3 only
22,Dorm,Cingular,500,Visa,300,2.6,7,3,4,1,5.5,2.27,20,Moderate,Occasionally,Other retail,0,2.9,Always,Mac,What's Linux?,iPod only
23,Dorm,Verizon,1500,Visa,200,3.3,0,2,2,7,6.13,1.03,47,Moderate,Never,Campus store,0,4.03,Always,Windows,No,Both
24,Share Apt,Verizon,300,Visa,1000,3.5,2,3,2,2,4,3,1,Slight,Occasionally,Campus store,0,4,Never,Windows,What's Linux?,iPod only
25,Dorm,Cingular,1000,Visa,350,2.9,0,2,2,4,6.13,4.03,1,Slight,Occasionally,Other retail,0,2.07,Always,Windows,What's Linux?,iPod only
26,Dorm,Cingular,350,Visa,200,4,0,0,2,14,6.03,4,0,Slight,Never,Campus store,1,4,Never,Windows,No,MP3 only
27,Dorm,Verizon,500,Visa,300,3.23,0,2,3,7,6.07,5.1,30,Slight,Occasionally,Campus store,0,4.1,Never,Windows,No,iPod only
28,Dorm,Cingular,400,Visa,37.06,3.1,10,2,2,7,6.43,1.57,52,Moderate,Regularly,Campus store,0,1.5,Always,Mac,No,iPod only
29,Dorm,Verizon,300,Visa,100,3.1,0,3,3,10,4.9,2,25,Slight,Occasionally,Campus store,0,6,Always,Windows,No,iPod only
30,Dorm,Alltel,100,Visa,17.45,3.55,10,3,3,8,4.63,4.63,15,Slight,Occasionally,On-line,0,1.3,Always,Mac,No,iPod only
31,Dorm,Verizon,100,Visa,258,3.6,0,2,3,10,5.53,6.9,20,Slight,Occasionally,Campus store,0,3.43,Always,Windows,What's Linux?,iPod only
32,Dorm,Verizon,500,Visa,23,2.5,20,3,2,7,3.3,2.43,20,Slight,Occasionally,Campus store,0,3.67,Never,Windows,What's Linux?,Both
33,Dorm,Cingular,500,Visa,100,2.8,0,2,2,6,6,2,5,Fluent,Occasionally,Other retail,0,2.03,Always,Windows,No,iPod only
34,Dorm,Verizon,500,Visa,289,2.89,7,3,3,9,5.8,4.87,2,Slight,Occasionally,On-line,1,2.47,Always,Windows,No,iPod only
35,Other,Other,15000,Other,10000,2.2,0,8,10,80,1,4,0,Slight,Never,No book,0,4,Never,Other,What's Linux?,Neither
36,Share Apt,Cingular,1500,Visa,678,3.6,0,2,1,4,5.97,3.37,0,Moderate,Occasionally,Other retail,0,4.93,Always,Windows,What's Linux?,iPod only
37,Dorm,Verizon,700,Visa,600,2.319,0,3,2,2,6.27,5.83,5,Fluent,Never,Campus store,0,1,Always,Windows,What's Linux?,iPod only
38,Dorm,Cingular,3000,Mastercard,220,2.9,0,3,3,11,5.53,3.17,0,Moderate,Occasionally,Campus store,0,6.03,Never,Windows,What's Linux?,iPod only
39,Dorm,T-Mobile,600,Visa,80,2.6,20,2,3,6,6,2,3,Slight,Occasionally,Campus store,1,5,Always,Windows,No,iPod only
40,Dorm,Verizon,560,Visa,843,2.76,0,3,3,3,6.33,2.7,0,None,Occasionally,Campus store,1,1.17,Always,Windows,What's Linux?,MP3 only
41,Dorm,Cingular,200,Visa,0,4,0,2,2,3,3.6,4.37,6,Slight,Occasionally,Campus store,1,2.13,Always,Mac,No,iPod only
42,Solo Apt,Verizon,1000,Mastercard,4000,3.3,45,3,4,6,6.8,2.17,52,Slight,Regularly,Campus store,0,2.2,Never,Windows,Yes,Neither
43,Share Apt,Cingular,300,Amex,200,3.6,0,2,3,31,6,1.47,20,Moderate,Regularly,Campus store,0,2,Always,Windows,No,iPod only
