ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic,PCAccess,OpSystem,Linux,iPod
1,Dorm,Verizon,short,Visa,Moderate,1.9,moderate,two,six,Very new,Good,somewhat conservative,very religious,None,Never,Other student,NO,Disagree,Always,Windows,What's Linux?,iPod only
2,Dorm,Verizon,average,Visa,Very high ,3.6,moderate,three,three,New,Good,conservative,Not religious,Moderate,Regularly,Campus store,NO,Disagree,Always,Windows,Yes,Neither
3,Dorm,Cingular,very long,Discover,Low,2.7,none,two,three,Fairly new,Good,somewhat conservative,religious,Slight,Occasionally,Other student,NO,Strongly Agree,Always,Windows,No,iPod only
4,Dorm,Cingular,average,Amex,Moderate,3.7,none,two,two,New,Good,somewhat conservative,Not religious,Moderate,Regularly,Campus store,NO,Disagree,Always,Windows,What's Linux?,iPod only
5,Dorm,Sprint,long ,Mastercard,Moderate,3.53,short,two,three,Fairly old,Good,somewhat conservative,Not religious,Moderate,Occasionally,Campus store,NO,Somewhat agree,Often,Mac,Yes,MP3 only
6,Share Apt,Verizon,very short,Mastercard,Very high ,2.4,none,six,two,Fairly old,Somewhat good,conservative,Not religious,Moderate,Occasionally,Other retail,NO,Neither,Always,Mac,Yes,Both
7,Dorm,Other,average,Visa,High ,3.55,none,two,two,Fairly new,Good,neither,Not religious,Slight,Occasionally,Campus store,NO,Strongly Agree,Always,Windows,No,Both
8,Dorm,T-Mobile,average,Visa,Very high ,2.9,moderate,four,four,Old,Good,neither,somewhat religious,Moderate,Never,On-line,YES,Somewhat agree,Always,Windows,No,iPod only
9,Dorm,Alltel,average,Visa,None,3.07,moderate,two,two,Very Old,Very good,conservative,religious,None,Occasionally,Other retail,NO,Strongly Agree,Always,Windows,No,Neither
10,Dorm,Verizon,very long,Amex,Moderate,3.62,moderate,two,two,Fairly new,Good,liberal,very religious,Slight,Occasionally,On-line,NO,Disagree,Always,Mac,Yes,iPod only
11,Other,Verizon,short,Visa,Very high ,3.3,moderate,two,two,Old,Good,somewhat liberal,religious,Moderate,Occasionally,Campus store,NO,Disagree,Always,Windows,No,iPod only
12,Dorm,Other,very short,Visa,Very high ,2.3,none,two,three,Old,Good,somewhat conservative,Not religious,Slight,Regularly,On-line,NO,Neither,Rarely,Windows,Yes,iPod only
13,Dorm,Verizon,long ,Visa,Moderate,3.244,none,two,two,New,Neither,somewhat liberal,Not religious,None,Occasionally,Campus store,YES,Strongly Agree,Rarely,Windows,No,MP3 only
14,Solo Apt,Verizon,short,Visa,Very high ,3.24,none,two,two,Fairly new,Somewhat good,liberal,Not religious,Fluent,Occasionally,Campus store,NO,Disagree,Always,Mac,No,iPod only
